            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453948.500000000, A.D. 2006-Aug-01 00:00:00.0000,  3.623818553018109E-01, -9.413589393582002E-02, -4.105340317553070E-02,  1.907089806132412E-03,  2.842115711025700E-02,  2.146160872103642E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453949.500000000, A.D. 2006-Aug-02 00:00:00.0000,  3.632598554243749E-01, -6.546310436987139E-02, -3.879224587256140E-02, -1.681540793047973E-04,  2.890061755784171E-02,  2.375774946789110E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453950.500000000, A.D. 2006-Aug-03 00:00:00.0000,  3.620124252153528E-01, -3.638512500449326E-02, -3.630293670925405E-02, -2.342679787489231E-03,  2.922864802532029E-02,  2.602128467056091E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453951.500000000, A.D. 2006-Aug-04 00:00:00.0000,  3.585439989221955E-01, -7.062195024237391E-03, -3.358979695342574E-02, -4.608596826099580E-03,  2.938749719041782E-02,  2.823047084903212E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453952.500000000, A.D. 2006-Aug-05 00:00:00.0000,  3.527683542363017E-01,  2.232735431776463E-02, -3.065948339495523E-02, -6.955030820843758E-03,  2.935879494254239E-02,  3.036032070990049E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453953.500000000, A.D. 2006-Aug-06 00:00:00.0000,  3.446118288482259E-01,  5.158669378637470E-02, -2.752131668787523E-02, -9.367660645633257E-03,  2.912400366769671E-02,  3.238254706577960E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453954.500000000, A.D. 2006-Aug-07 00:00:00.0000,  3.340169856854193E-01,  8.050062169538154E-02, -2.418760744970850E-02, -1.182829115101678E-02,  2.866503315692919E-02,  3.426567309992965E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453955.500000000, A.D. 2006-Aug-08 00:00:00.0000,  3.209466672097716E-01,  1.088363928565786E-01, -2.067396059662820E-02, -1.431451189151063E-02,  2.796503405236286E-02,  3.597536741267803E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453956.500000000, A.D. 2006-Aug-09 00:00:00.0000,  3.053883218379701E-01,  1.363454312885879E-01, -1.699953244972459E-02, -1.679950584042004E-02,  2.700937042257810E-02,  3.747506305473145E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453957.500000000, A.D. 2006-Aug-10 00:00:00.0000,  2.873584159170215E-01,  1.627660972202594E-01, -1.318720955892105E-02, -1.925208252993726E-02,  2.578674991022685E-02,  3.872691124640954E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453958.500000000, A.D. 2006-Aug-11 00:00:00.0000,  2.669066678602238E-01,  1.878276430014394E-01, -9.263674075502824E-03, -2.163701322276064E-02,  2.429045997546912E-02,  3.969309894606967E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453959.500000000, A.D. 2006-Aug-12 00:00:00.0000,  2.441197667182067E-01,  2.112554236245363E-01, -5.259319312724445E-03, -2.391573673682940E-02,  2.251962330491150E-02,  4.033752222080153E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453960.500000000, A.D. 2006-Aug-13 00:00:00.0000,  2.191241801052323E-01,  2.327773224622278E-01, -1.207982456896621E-03, -2.604747896031927E-02,  2.048034967011286E-02,  4.062775465784244E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453961.500000000, A.D. 2006-Aug-14 00:00:00.0000,  1.920876339859685E-01,  2.521312151274301E-01,  2.853529415917449E-03, -2.799078474563703E-02,  1.818663371150768E-02,  4.053718663844959E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453962.500000000, A.D. 2006-Aug-15 00:00:00.0000,  1.632188774237629E-01,  2.690731371161157E-01,  6.886128208110035E-03, -2.970540005788082E-02,  1.566083860883830E-02,  4.004714771500427E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453963.500000000, A.D. 2006-Aug-16 00:00:00.0000,  1.327654418077428E-01,  2.833856674246404E-01,  1.084933535807042E-02, -3.115437336028632E-02,  1.293362402241733E-02,  3.914877616127212E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453964.500000000, A.D. 2006-Aug-17 00:00:00.0000,  1.010092676494961E-01,  2.948859216689045E-01,  1.470233618593654E-02, -3.230618257648962E-02,  1.004322811889692E-02,  3.784438429592605E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453965.500000000, A.D. 2006-Aug-18 00:00:00.0000,  6.826028786996224E-02,  3.034324965387781E-01,  1.840513609669591E-02, -3.313665500545996E-02,  7.034094615718917E-03,  3.614809869620242E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453966.500000000, A.D. 2006-Aug-19 00:00:00.0000,  3.484829288305317E-02,  3.089307465130217E-01,  2.191973821061307E-02, -3.363044740550967E-02,  3.954933207442523E-03,  3.408563386929944E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453967.500000000, A.D. 2006-Aug-20 00:00:00.0000,  1.113616678196681E-03,  3.113359097580280E-01,  2.521125347268246E-02, -3.378189872110886E-02,  8.563941887183480E-04,  3.169317501161349E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453968.500000000, A.D. 2006-Aug-21 00:00:00.0000, -3.260266901200860E-02,  3.106538163505428E-01,  2.824885838598345E-02, -3.359515257519225E-02, -2.211397488620567E-03,  2.901547579861512E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453969.500000000, A.D. 2006-Aug-22 00:00:00.0000, -6.596831465521756E-02,  3.069391711234022E-01,  3.100653203205864E-02, -3.308355252601559E-02, -5.201183925877075E-03,  2.610339029033114E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453970.500000000, A.D. 2006-Aug-23 00:00:00.0000, -9.866852469528650E-02,  3.002916572947051E-01,  3.346352987668293E-02, -3.226841545814192E-02, -8.070556640634824E-03,  2.301112773111239E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453971.500000000, A.D. 2006-Aug-24 00:00:00.0000, -1.304131251768973E-01,  2.908503100421705E-01,  3.560458186940142E-02, -3.117736441259720E-02, -1.078341390805681E-02,  1.979353197809450E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453972.500000000, A.D. 2006-Aug-25 00:00:00.0000, -1.609419340030373E-01,  2.787867307033802E-01,  3.741983088095388E-02, -2.984243788766487E-02, -1.331081724838742E-02,  1.650364668089502E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453973.500000000, A.D. 2006-Aug-26 00:00:00.0000, -1.900282179028188E-01,  2.642977429929739E-01,  3.890454997273403E-02, -2.829818673095872E-02, -1.563125953724643E-02,  1.319074976593881E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
