            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453937.500000000, A.D. 2006-Jul-21 00:00:00.0000, -1.616709250343859E+00,  3.763638092572280E-01,  4.749520681867213E-02, -2.620852024356233E-03, -1.243632127331516E-02, -1.963720370574477E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453938.500000000, A.D. 2006-Jul-22 00:00:00.0000, -1.619277951427456E+00,  3.639156137824509E-01,  4.729730495774067E-02, -2.516514737744720E-03, -1.245993791848897E-02, -1.994297843703696E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453939.500000000, A.D. 2006-Jul-23 00:00:00.0000, -1.621742209734004E+00,  3.514441973406458E-01,  4.709635105440205E-02, -2.411967227010349E-03, -1.248276290594726E-02, -2.024761085644699E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453940.500000000, A.D. 2006-Jul-24 00:00:00.0000, -1.624101817395436E+00,  3.389503524861046E-01,  4.689235661096091E-02, -2.307214206533956E-03, -1.250479442171136E-02, -2.055108502415455E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453941.500000000, A.D. 2006-Jul-25 00:00:00.0000, -1.626356571251743E+00,  3.264348735891744E-01,  4.668533328330850E-02, -2.202260399243595E-03, -1.252603066295717E-02, -2.085338522499267E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453942.500000000, A.D. 2006-Jul-26 00:00:00.0000, -1.628506272864447E+00,  3.138985568292991E-01,  4.647529288100417E-02, -2.097110529567106E-03, -1.254646982992274E-02, -2.115449629646631E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453943.500000000, A.D. 2006-Jul-27 00:00:00.0000, -1.630550728531099E+00,  3.013422001893121E-01,  4.626224736777151E-02, -1.991769328434369E-03, -1.256611012366561E-02, -2.145440340907331E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453944.500000000, A.D. 2006-Jul-28 00:00:00.0000, -1.632489749299773E+00,  2.887666034507380E-01,  4.604620886187163E-02, -1.886241543686795E-03, -1.258494974659749E-02, -2.175309158055224E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453945.500000000, A.D. 2006-Jul-29 00:00:00.0000, -1.634323150983277E+00,  2.761725681885478E-01,  4.582718963608499E-02, -1.780531946951622E-03, -1.260298690127296E-02, -2.205054534172100E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453946.500000000, A.D. 2006-Jul-30 00:00:00.0000, -1.636050754174114E+00,  2.635608977645535E-01,  4.560520211776702E-02, -1.674645333749415E-03, -1.262021979289687E-02, -2.234674876374287E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453947.500000000, A.D. 2006-Jul-31 00:00:00.0000, -1.637672384260878E+00,  2.509323973202821E-01,  4.538025888940968E-02, -1.568586518188863E-03, -1.263664663945711E-02, -2.264168580161409E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453948.500000000, A.D. 2006-Aug-01 00:00:00.0000, -1.639187871445169E+00,  2.382878737705598E-01,  4.515237268934959E-02, -1.462360326005019E-03, -1.265226567888306E-02, -2.293534069184467E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453949.500000000, A.D. 2006-Aug-02 00:00:00.0000, -1.640597050757743E+00,  2.256281357978203E-01,  4.492155641195122E-02, -1.355971592412666E-03, -1.266707516177643E-02, -2.322769802113675E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453950.500000000, A.D. 2006-Aug-03 00:00:00.0000, -1.641899762074174E+00,  2.129539938460376E-01,  4.468782310731192E-02, -1.249425165480073E-03, -1.268107333804616E-02, -2.351874249686468E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453951.500000000, A.D. 2006-Aug-04 00:00:00.0000, -1.643095850131552E+00,  2.002662601137764E-01,  4.445118598121088E-02, -1.142725909080010E-03, -1.269425845183062E-02, -2.380845880353076E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453952.500000000, A.D. 2006-Aug-05 00:00:00.0000, -1.644185164546849E+00,  1.875657485472761E-01,  4.421165839570647E-02, -1.035878705570853E-03, -1.270662874669514E-02, -2.409683154008287E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453953.500000000, A.D. 2006-Aug-06 00:00:00.0000, -1.645167559836001E+00,  1.748532748343991E-01,  4.396925386997402E-02, -9.288884618097421E-04, -1.271818247433191E-02, -2.438384500174449E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453954.500000000, A.D. 2006-Aug-07 00:00:00.0000, -1.646042895432555E+00,  1.621296563986533E-01,  4.372398608073744E-02, -8.217601136850914E-04, -1.272891790095117E-02, -2.466948299837624E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453955.500000000, A.D. 2006-Aug-08 00:00:00.0000, -1.646811035706006E+00,  1.493957123918922E-01,  4.347586886224632E-02, -7.144986199249426E-04, -1.273883330837869E-02, -2.495372916053535E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453956.500000000, A.D. 2006-Aug-09 00:00:00.0000, -1.647471849980807E+00,  1.366522636859102E-01,  4.322491620632823E-02, -6.071089498049550E-04, -1.274792698900416E-02, -2.523656752858925E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453957.500000000, A.D. 2006-Aug-10 00:00:00.0000, -1.648025212556493E+00,  1.239001328646303E-01,  4.297114226285760E-02, -4.995960801868206E-04, -1.275619724001146E-02, -2.551798270216872E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453958.500000000, A.D. 2006-Aug-11 00:00:00.0000, -1.648471002728209E+00,  1.111401442176200E-01,  4.271456134032947E-02, -3.919650044544239E-04, -1.276364236150173E-02, -2.579795942325723E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453959.500000000, A.D. 2006-Aug-12 00:00:00.0000, -1.648809104806918E+00,  9.837312373372360E-02,  4.245518790607259E-02, -2.842207423402991E-04, -1.277026065512628E-02, -2.607648209960238E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453960.500000000, A.D. 2006-Aug-13 00:00:00.0000, -1.649039408139862E+00,  8.559989909339834E-02,  4.219303658628445E-02, -1.763683432973770E-04, -1.277605042334757E-02, -2.635353464770407E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453961.500000000, A.D. 2006-Aug-14 00:00:00.0000, -1.649161807132384E+00,  7.282129965993236E-02,  4.192812216647431E-02, -6.841288451362141E-05, -1.278100997580441E-02, -2.662910065198234E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453962.500000000, A.D. 2006-Aug-15 00:00:00.0000, -1.649176201270941E+00,  6.003815647081388E-02,  4.166045959234420E-02,  3.964053365789358E-05, -1.278513764107130E-02, -2.690316367931729E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453963.500000000, A.D. 2006-Aug-16 00:00:00.0000, -1.649082495145871E+00,  4.725130222977705E-02,  4.139006397041944E-02,  1.477867927459937E-04, -1.278843176958410E-02, -2.717570755036700E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453964.500000000, A.D. 2006-Aug-17 00:00:00.0000, -1.648880598473239E+00,  3.446157129875985E-02,  4.111695056801172E-02,  2.560207576401469E-04, -1.279089072182859E-02, -2.744671634995589E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
