Earth,x1,y1,Sun,x2,y2
,79836718.812821,70059530.774059,,662491.314377,150722.024900
,78927242.698978,70212842.817912,,670829.159215,153900.371579
,78010719.121748,70359845.630232,,679231.613399,157136.559681
,77087112.542986,70500418.385253,,687699.002732,160431.696908
,76156387.305319,70634437.079849,,696231.654113,163786.920087
,75218507.656268,70761774.420328,,704829.895312,167203.396216
,74273437.774654,70882299.704300,,713494.054727,170682.323539
,73321141.799448,70995878.697406,,722224.461123,174224.932684
,72361583.861287,71102373.504619,,731021.443342,177832.487836
,71394728.116866,71201642.435866,,739885.329985,181506.287975
,70420538.786445,71293539.865661,,748816.449073,185247.668157
,69438980.194740,71377916.086462,,757815.127667,189058.000863
,68450016.815468,71454617.155411,,766881.691463,192938.697402
,67453613.319865,71523484.734131,,776016.464347,196891.209380
,66449734.629502,71584355.921210,,785219.767907,200917.030235
,65438345.973769,71637063.076997,,794491.920913,205017.696845
,64419412.952418,71681433.640310,,803833.238737,209194.791206
,63392901.603606,71717289.936634,,813244.032733,213449.942194
,62358778.477893,71744448.977353,,822724.609556,217784.827400
,61317010.718727,71762722.249562,,832275.270427,222201.175064
,60267566.149956,71771915.495958,,841896.310329,226700.766087
,59210413.371003,71771828.484274,,851588.017133,231285.436147
,58145521.860343,71762254.765729,,861350.670655,235957.077913
,57072862.088034,71742981.421900,,871184.541616,240717.643368
,55992405.638092,71713788.799413,,881089.890528,245569.146237
,54904125.341584,71674450.231809,,891066.966467,250513.664541
,53807995.421390,71624731.747919,,901116.005753,255553.343268
,52703991.649683,71564391.766040,,911237.230499,260690.397177
,51592091.519284,71493180.773179,,921430.847046,265927.113740
,50472274.430127,71410840.988581,,931697.044250,271265.856224
,49344521.892228,71317106.010758,,942035.991622,276709.066930
,48208817.746678,71211700.447148,,952447.837303,282259.270588
,47065148.406291,71094339.525569,,962932.705857,287919.077916
,45913503.117767,70964728.686525,,973490.695867,293691.189359
,44753874.247354,70822563.155468,,984121.877318,299578.399015
,43586257.592216,70667527.494015,,994826.288741,305583.598740
,42410652.719944,70499295.129172,,1005603.934098,311709.782473
,41227063.338864,70317527.859534,,1016454.779394,317960.050757
,40035497.702103,70121875.337460,,1027378.748966,324337.615492
,38835969.048628,69911974.526200,,1038375.721443,330845.804904
,37628496.084849,69687449.130960,,1049445.525328,337488.068769
,36413103.510708,69447909.002920,,1060587.934180,344267.983871
,35189822.594597,69192949.515244,,1071802.661336,351189.259727
,33958691.801899,68922150.910199,,1083089.354158,358255.744566
,32719757.482414,68635077.616551,,1094447.587721,365471.431596
,31473074.622527,68331277.536557,,1105876.857924,372840.465534
,30218707.668525,68010281.302000,,1117376.573940,380367.149426
,28956731.428172,67671601.498915,,1128946.049951,388055.951761
,27687232.058382,67314731.860912,,1140584.496093,395911.513858
,26410308.147624,66939146.431320,,1152291.008530,403938.657555
,25126071.902605,66544298.694767,,1164064.558582,412142.393165
